IP_Address,DateTime,Date,Time,Lat_Lng,gcl_wbr,bot_yn,Gbot_yn,UsrAgntSHORT
2317,3736,7,5842,127,13,0,0,31
2265,3737,7,5854,127,10,0,0,14
2317,3739,7,5870,127,13,0,0,31
2317,3742,7,5907,127,13,0,0,31
2317,3743,7,5917,127,13,0,0,31
1214,3747,7,5948,127,13,0,0,31
420,3751,7,5995,127,13,0,0,31
1513,3752,7,6014,127,4,0,0,14
1691,3753,7,6016,127,13,0,0,31
420,3754,7,6020,127,13,0,0,31
3910,3754,7,6022,127,13,0,0,31
1513,3755,7,6033,127,13,0,0,14
420,3761,7,6087,127,13,0,0,31
196,3763,7,6128,127,13,0,0,31
2776,3769,7,6178,127,13,1,0,14
2776,3769,7,6179,127,13,1,0,14
4000,3772,7,6192,127,13,0,0,31
3582,3776,7,6238,127,13,0,0,31
1683,3777,7,6242,127,13,0,0,31
1683,3777,7,6243,127,13,0,0,31
1683,3777,7,6244,127,13,0,0,31
1683,3777,7,6245,127,13,0,0,31
3582,3778,7,6256,127,13,0,0,31
1185,3779,7,6261,127,13,0,0,31
427,3782,7,6309,127,13,0,0,31
2279,3783,7,6316,127,13,0,0,31
1138,3784,7,6323,127,13,0,0,31
2135,3788,7,6369,127,13,0,0,31
311,3792,7,6426,127,13,0,0,12
2886,3793,7,6427,127,13,0,0,31
1249,3794,7,6433,127,13,0,0,31
2886,3796,7,6467,127,13,1,0,14
2886,3796,7,6468,127,13,0,0,42
1176,3797,7,6472,127,4,0,0,31
2763,3815,7,6699,127,4,0,0,12
302,3816,7,6728,127,4,0,0,45
302,3816,7,6728,127,4,0,0,45
302,3817,7,6734,127,4,0,0,45
3830,3820,7,6794,127,13,0,0,31
3830,3821,7,6801,127,13,0,0,31
2391,3829,7,6935,127,4,0,0,45
2391,3829,7,6935,127,4,0,0,45
2391,3829,7,6936,127,4,0,0,45
2671,3831,7,6945,127,4,0,0,12
2504,3833,7,6972,127,4,0,0,45
2857,3834,7,7001,127,4,0,0,12
732,3835,7,7013,127,13,0,0,31
2898,3838,7,7041,127,4,0,0,45
2898,3839,7,7044,127,4,0,0,45
2899,3302,7,388,127,4,0,0,45
2344,3310,7,493,127,13,0,0,31
768,3317,7,575,127,4,0,0,31
2540,3318,7,586,127,4,0,0,45
3209,3320,7,594,127,13,0,0,12
3020,3320,7,595,127,13,0,0,31
3384,3320,7,596,127,4,0,0,31
3020,3321,7,599,127,13,0,0,31
3020,3322,7,602,127,13,0,0,31
3209,3323,7,607,127,13,0,0,12
3020,3323,7,609,127,13,0,0,31
3195,3323,7,611,127,4,0,0,45
1000,3324,7,616,127,13,0,0,31
212,3326,7,629,127,13,0,0,12
212,3327,7,631,127,13,0,0,12
1176,3330,7,667,127,4,0,0,31
212,3331,7,674,127,13,0,0,12
981,3332,7,695,127,13,0,0,31
746,3333,7,706,127,13,0,0,31
746,3333,7,708,127,13,0,0,31
3171,3334,7,718,127,4,0,0,45
2367,3335,7,750,127,4,0,0,45
2452,3338,7,782,127,10,0,0,47
2452,3338,7,782,127,10,0,0,47
2452,3338,7,785,127,10,0,0,47
1149,3342,7,825,127,8,0,0,31
2992,3345,7,865,127,4,0,0,31
2992,3346,7,875,127,4,0,0,31
2354,3347,7,890,127,4,0,0,12
2969,3349,7,910,127,4,0,0,12
2996,3350,7,923,127,4,0,0,45
3820,3352,7,956,127,4,0,0,12
3820,3353,7,961,127,13,0,0,12
3820,3353,7,963,127,13,0,0,12
753,3355,7,988,127,13,0,0,31
2792,3357,7,1009,127,4,0,0,45
823,3358,7,1017,127,13,0,0,31
823,3358,7,1018,127,13,0,0,31
823,3358,7,1021,127,13,0,0,31
823,3360,7,1077,127,13,1,0,14
2467,3360,7,1079,127,4,0,0,12
2314,3363,7,1111,127,4,0,0,45
280,3363,7,1112,127,13,0,0,21
3199,3363,7,1118,127,4,0,0,12
1140,3368,7,1186,127,13,0,0,31
2856,3369,7,1199,127,13,0,0,31
2245,3370,7,1215,127,4,0,0,47
3912,3371,7,1225,127,13,0,0,16
2245,3371,7,1235,127,4,0,0,47
326,3372,7,1247,127,4,0,0,12
188,3374,7,1259,127,4,0,0,16
3047,3376,7,1299,127,4,0,0,45
576,3377,7,1309,127,13,0,0,16
3636,3378,7,1321,127,13,0,0,14
3636,3378,7,1322,127,4,0,0,14
684,3380,7,1337,127,13,0,0,31
2710,3381,7,1351,127,4,0,0,45
2710,3381,7,1351,127,4,0,0,45
3044,3383,7,1410,127,13,0,0,31
3051,3384,7,1419,127,4,0,0,45
3051,3384,7,1419,127,4,0,0,45
736,3385,7,1461,127,4,0,0,12
187,3390,7,1621,127,13,0,0,31
187,3390,7,1623,127,13,0,0,31
2856,3391,7,1644,127,13,0,0,31
2856,3391,7,1646,127,13,0,0,31
3992,3391,7,1647,127,13,0,0,31
847,3395,7,1693,127,4,0,0,31
2981,3396,7,1694,127,4,0,0,45
2981,3396,7,1694,127,4,0,0,45
3976,3397,7,1722,127,13,0,0,31
849,3399,7,1750,127,4,0,0,31
846,3401,7,1782,127,4,0,0,12
1190,3402,7,1826,127,13,0,0,31
1190,3403,7,1836,127,13,0,0,31
1190,3403,7,1837,127,13,0,0,31
964,3404,7,1862,127,10,0,0,47
1194,3404,7,1871,127,13,0,0,31
2361,3405,7,1897,127,4,0,0,45
826,3406,7,1899,127,4,0,0,45
826,3406,7,1900,127,4,0,0,45
2564,3407,7,1911,127,10,0,0,47
2564,3407,7,1913,127,10,0,0,47
2564,3407,7,1914,127,10,0,0,47
2564,3407,7,1914,127,10,0,0,47
1303,3408,7,1953,127,4,0,0,45
2555,3409,7,1960,127,4,0,0,45
2555,3409,7,1960,127,4,0,0,45
